,matches,Chennai Super Kings_wins,Deccan Chargers_wins,Delhi Capitals_wins,Delhi Daredevils_wins,Gujarat Lions_wins,Gujarat Titans_wins,Kings XI Punjab_wins,Kochi Tuskers Kerala_wins,Kolkata Knight Riders_wins,Lucknow Super Giants_wins,Mumbai Indians_wins,Pune Warriors_wins,Punjab Kings_wins,Rajasthan Royals_wins,Rising Pune Supergiant_wins,Rising Pune Supergiants_wins,Royal Challengers Bangalore_wins,Royal Challengers Bengaluru_wins,Sunrisers Hyderabad_wins
Delhi Daredevils vs Pune Warriors,5.0,,,,3.0,,,,,,,,2.0,,,,,,,
Delhi Daredevils vs Punjab Kings,0.0,,,,0.0,,,,,,,,,0.0,,,,,,
Delhi Daredevils vs Rajasthan Royals,18.0,,,,7.0,,,,,,,,,,11.0,,,,,
Delhi Daredevils vs Rising Pune Supergiant,2.0,,,,2.0,,,,,,,,,,,0.0,,,,
Delhi Daredevils vs Rising Pune Supergiants,2.0,,,,0.0,,,,,,,,,,,,2.0,,,
Delhi Daredevils vs Royal Challengers Bangalore,19.0,,,,6.0,,,,,,,,,,,,,13.0,,
Delhi Daredevils vs Royal Challengers Bengaluru,0.0,,,,0.0,,,,,,,,,,,,,,0.0,
Delhi Daredevils vs Sunrisers Hyderabad,12.0,,,,4.0,,,,,,,,,,,,,,,8.0
Gujarat Lions vs Gujarat Titans,0.0,,,,,0.0,0.0,,,,,,,,,,,,,
Gujarat Lions vs Kings XI Punjab,4.0,,,,,2.0,,2.0,,,,,,,,,,,,
Gujarat Lions vs Kochi Tuskers Kerala,0.0,,,,,0.0,,,0.0,,,,,,,,,,,
Gujarat Lions vs Kolkata Knight Riders,4.0,,,,,3.0,,,,1.0,,,,,,,,,,
Gujarat Lions vs Lucknow Super Giants,0.0,,,,,0.0,,,,,0.0,,,,,,,,,
Gujarat Lions vs Mumbai Indians,3.0,,,,,2.0,,,,,,1.0,,,,,,,,
Gujarat Lions vs Pune Warriors,0.0,,,,,0.0,,,,,,,0.0,,,,,,,
Gujarat Lions vs Punjab Kings,0.0,,,,,0.0,,,,,,,,0.0,,,,,,
Gujarat Lions vs Rajasthan Royals,0.0,,,,,0.0,,,,,,,,,0.0,,,,,
Gujarat Lions vs Rising Pune Supergiant,2.0,,,,,1.0,,,,,,,,,,1.0,,,,
Gujarat Lions vs Rising Pune Supergiants,2.0,,,,,2.0,,,,,,,,,,,0.0,,,
Gujarat Lions vs Royal Challengers Bangalore,5.0,,,,,2.0,,,,,,,,,,,,3.0,,
Gujarat Lions vs Royal Challengers Bengaluru,0.0,,,,,0.0,,,,,,,,,,,,,0.0,
Gujarat Lions vs Sunrisers Hyderabad,5.0,,,,,0.0,,,,,,,,,,,,,,5.0
Gujarat Titans vs Kings XI Punjab,0.0,,,,,,0.0,0.0,,,,,,,,,,,,
Gujarat Titans vs Kochi Tuskers Kerala,0.0,,,,,,0.0,,0.0,,,,,,,,,,,
Gujarat Titans vs Kolkata Knight Riders,4.0,,,,,,3.0,,,1.0,,,,,,,,,,
Gujarat Titans vs Lucknow Super Giants,7.0,,,,,,4.0,,,,3.0,,,,,,,,,
Gujarat Titans vs Mumbai Indians,8.0,,,,,,5.0,,,,,3.0,,,,,,,,
Gujarat Titans vs Pune Warriors,0.0,,,,,,0.0,,,,,,0.0,,,,,,,
Gujarat Titans vs Punjab Kings,6.0,,,,,,3.0,,,,,,,3.0,,,,,,
Gujarat Titans vs Rajasthan Royals,8.0,,,,,,6.0,,,,,,,,2.0,,,,,
Gujarat Titans vs Rising Pune Supergiant,0.0,,,,,,0.0,,,,,,,,,0.0,,,,
Gujarat Titans vs Rising Pune Supergiants,0.0,,,,,,0.0,,,,,,,,,,0.0,,,
Gujarat Titans vs Royal Challengers Bangalore,3.0,,,,,,2.0,,,,,,,,,,,1.0,,
Gujarat Titans vs Royal Challengers Bengaluru,3.0,,,,,,1.0,,,,,,,,,,,,2.0,
Gujarat Titans vs Sunrisers Hyderabad,6.0,,,,,,5.0,,,,,,,,,,,,,1.0
Kings XI Punjab vs Kochi Tuskers Kerala,1.0,,,,,,,1.0,0.0,,,,,,,,,,,
Kings XI Punjab vs Kolkata Knight Riders,27.0,,,,,,,9.0,,18.0,,,,,,,,,,
Kings XI Punjab vs Lucknow Super Giants,0.0,,,,,,,0.0,,,0.0,,,,,,,,,
Kings XI Punjab vs Mumbai Indians,25.0,,,,,,,11.0,,,,14.0,,,,,,,,
Kings XI Punjab vs Pune Warriors,6.0,,,,,,,3.0,,,,,3.0,,,,,,,
Kings XI Punjab vs Punjab Kings,0.0,,,,,,,0.0,,,,,,0.0,,,,,,
Kings XI Punjab vs Rajasthan Royals,20.0,,,,,,,8.0,,,,,,,12.0,,,,,
Kings XI Punjab vs Rising Pune Supergiant,2.0,,,,,,,1.0,,,,,,,,1.0,,,,
Kings XI Punjab vs Rising Pune Supergiants,2.0,,,,,,,1.0,,,,,,,,,1.0,,,
Kings XI Punjab vs Royal Challengers Bangalore,26.0,,,,,,,14.0,,,,,,,,,,12.0,,
Kings XI Punjab vs Royal Challengers Bengaluru,0.0,,,,,,,0.0,,,,,,,,,,,0.0,
Kings XI Punjab vs Sunrisers Hyderabad,16.0,,,,,,,5.0,,,,,,,,,,,,11.0
Kochi Tuskers Kerala vs Kolkata Knight Riders,2.0,,,,,,,,2.0,0.0,,,,,,,,,,
Kochi Tuskers Kerala vs Lucknow Super Giants,0.0,,,,,,,,0.0,,0.0,,,,,,,,,
Kochi Tuskers Kerala vs Mumbai Indians,1.0,,,,,,,,1.0,,,0.0,,,,,,,,
Kochi Tuskers Kerala vs Pune Warriors,1.0,,,,,,,,0.0,,,,1.0,,,,,,,
Kochi Tuskers Kerala vs Punjab Kings,0.0,,,,,,,,0.0,,,,,0.0,,,,,,
Kochi Tuskers Kerala vs Rajasthan Royals,2.0,,,,,,,,1.0,,,,,,1.0,,,,,
Kochi Tuskers Kerala vs Rising Pune Supergiant,0.0,,,,,,,,0.0,,,,,,,0.0,,,,
Kochi Tuskers Kerala vs Rising Pune Supergiants,0.0,,,,,,,,0.0,,,,,,,,0.0,,,
Kochi Tuskers Kerala vs Royal Challengers Bangalore,2.0,,,,,,,,0.0,,,,,,,,,2.0,,
Kochi Tuskers Kerala vs Royal Challengers Bengaluru,0.0,,,,,,,,0.0,,,,,,,,,,0.0,
Kochi Tuskers Kerala vs Sunrisers Hyderabad,0.0,,,,,,,,0.0,,,,,,,,,,,0.0
Kolkata Knight Riders vs Lucknow Super Giants,6.0,,,,,,,,,2.0,4.0,,,,,,,,,
Kolkata Knight Riders vs Mumbai Indians,35.0,,,,,,,,,11.0,,24.0,,,,,,,,
Kolkata Knight Riders vs Pune Warriors,5.0,,,,,,,,,4.0,,,1.0,,,,,,,
Kolkata Knight Riders vs Punjab Kings,7.0,,,,,,,,,3.0,,,,4.0,,,,,,
Kolkata Knight Riders vs Rajasthan Royals,28.0,,,,,,,,,16.0,,,,,12.0,,,,,
Kolkata Knight Riders vs Rising Pune Supergiant,2.0,,,,,,,,,1.0,,,,,,1.0,,,,
Kolkata Knight Riders vs Rising Pune Supergiants,2.0,,,,,,,,,2.0,,,,,,,0.0,,,
Kolkata Knight Riders vs Royal Challengers Bangalore,32.0,,,,,,,,,18.0,,,,,,,,14.0,,
Kolkata Knight Riders vs Royal Challengers Bengaluru,3.0,,,,,,,,,2.0,,,,,,,,,1.0,
Kolkata Knight Riders vs Sunrisers Hyderabad,29.0,,,,,,,,,19.0,,,,,,,,,,10.0
Lucknow Super Giants vs Mumbai Indians,8.0,,,,,,,,,,6.0,2.0,,,,,,,,
Lucknow Super Giants vs Pune Warriors,0.0,,,,,,,,,,0.0,,0.0,,,,,,,
Lucknow Super Giants vs Punjab Kings,6.0,,,,,,,,,,3.0,,,3.0,,,,,,
