,last_5_avg,last_10_avg,overall_avg,form,trend
Nithish Kumar Reddy,10.0,15.1,22.0,Poor,Down
WG Jacks,28.4,22.2,24.1,Good,Up
J Fraser-McGurk,9.2,20.7,26.4,Poor,Down
A Kamboj,2.8,2.7,2.7,Good,Up
Aniket Verma,13.0,19.3,19.7,Poor,Down
RD Rickelton,34.6,29.7,27.7,Excellent,Up
V Nigam,16.8,17.7,17.7,Average,Down
Priyansh Arya,23.8,19.0,25.4,Average,Up
PHKD Mendis,18.2,18.2,18.2,Average,Down
SK Rasheed,14.2,14.2,14.2,Average,Down
JP Inglis,37.2,26.7,26.7,Excellent,Up
V Suryavanshi,40.4,36.0,36.0,Good,Up
A Mhatre,35.6,34.3,34.3,Good,Up
B Akhil,7.2,7.6,6.9,Good,Down
CL White,17.2,19.0,21.4,Average,Down
DJ Hussey,25.8,22.7,21.6,Good,Up
JH Kallis,13.2,20.6,25.6,Poor,Down
MV Boucher,4.8,9.9,16.8,Poor,Down
Mohammad Hafeez,6.0,8.0,8.0,Poor,Down
R Dravid,21.2,24.9,26.5,Poor,Down
RT Ponting,10.4,10.1,10.1,Good,Up
SC Ganguly,14.6,20.7,23.7,Poor,Down
W Jaffer,12.8,16.2,16.2,Poor,Down
IK Pathan,7.0,9.0,13.6,Poor,Down
JDP Oram,6.8,9.3,9.6,Poor,Down
JR Hopes,22.4,21.1,21.9,Good,Up
K Goel,10.6,14.2,13.6,Poor,Down
KC Sangakkara,11.8,12.0,25.0,Poor,Down
MEK Hussey,23.2,26.6,34.1,Poor,Down
ML Hayden,6.2,15.0,34.3,Poor,Down
S Badrinath,14.8,17.3,22.4,Poor,Down
SM Katich,9.6,21.9,21.8,Poor,Down
M Kaif,11.0,10.5,11.7,Average,Up
M Rawat,4.6,5.3,5.0,Average,Down
SK Trivedi,2.4,3.5,3.0,Poor,Down
SK Warne,2.6,2.0,7.5,Poor,Up
V Sehwag,12.4,22.9,26.4,Poor,Down
AM Nayar,10.0,5.5,13.3,Poor,Up
L Ronchi,6.8,6.8,6.8,Average,Down
LRPL Taylor,13.4,14.6,18.7,Poor,Down
PR Shah,11.6,10.1,10.1,Good,Up
SM Pollock,16.0,18.4,18.4,Average,Down
ST Jayasuriya,6.6,11.5,25.3,Poor,Down
A Symonds,5.4,13.7,27.0,Poor,Down
AC Gilchrist,32.8,27.0,25.6,Excellent,Up
AS Yadav,7.8,8.2,8.2,Average,Down
LR Shukla,6.8,7.5,12.2,Poor,Down
RP Singh,1.2,0.8,1.9,Poor,Up
SB Bangar,6.6,7.8,7.8,Average,Down
SB Styris,8.4,13.1,13.1,Poor,Down
VVS Laxman,9.6,10.2,13.8,Poor,Down
WPUJC Vaas,6.0,7.5,6.8,Average,Down
Y Venugopal Rao,14.2,15.8,19.2,Poor,Down
B Lee,12.6,6.9,6.5,Excellent,Up
DPMD Jayawardene,16.4,20.3,23.3,Poor,Down
Kamran Akmal,22.6,20.7,20.7,Good,Up
S Sohal,27.2,24.9,18.4,Excellent,Up
WA Mota,5.8,7.0,7.0,Average,Down
Shahid Afridi,7.2,9.0,9.0,Poor,Down
A Nehra,0.4,1.2,2.3,Poor,Down
GC Smith,12.0,13.6,25.6,Poor,Down
Pankaj Singh,1.4,1.4,1.4,Average,Down
S Sreesanth,0.4,3.4,2.8,Poor,Down
AB Agarkar,6.6,11.5,10.4,Poor,Down
M Kartik,5.4,8.0,8.5,Poor,Down
MF Maharoof,9.8,9.1,12.6,Poor,Up
Shoaib Malik,10.2,10.2,10.2,Average,Down
VY Mahesh,3.0,3.0,3.0,Average,Down
B Chipli,10.6,9.9,13.3,Poor,Up
DB Das,14.8,10.1,13.8,Good,Up
HH Gibbs,22.2,26.1,24.6,Average,Down
BJ Hodge,24.0,22.5,22.5,Good,Up
SA Asnodkar,17.6,11.2,22.3,Poor,Up
Salman Butt,36.2,27.4,27.4,Excellent,Up
Sohail Tanvir,7.0,7.0,7.0,Average,Down
JA Morkel,20.6,15.7,14.5,Excellent,Up
S Vidyut,9.2,18.1,18.1,Poor,Down
SP Fleming,24.8,19.2,19.2,Excellent,Up
DB Ravi Teja,15.6,14.8,14.9,Good,Up
Misbah-ul-Haq,15.0,14.6,14.6,Good,Up
RR Raje,4.0,4.0,4.0,Average,Down
YV Takawale,20.8,19.1,19.1,Good,Up
Joginder Sharma,7.2,7.2,7.2,Average,Down
M Muralitharan,2.6,2.2,2.2,Good,Up
MS Gony,9.8,6.4,6.9,Excellent,Up
A Kumble,1.2,2.1,2.3,Poor,Down
S Anirudha,5.0,11.1,11.3,Poor,Down
A Chopra,10.2,8.8,8.8,Good,Up
PP Ojha,1.0,1.0,0.8,Good,Down
SR Tendulkar,26.0,21.9,29.9,Average,Up
AD Mascarenhas,4.4,5.2,5.2,Average,Down
NK Patel,23.4,20.2,20.2,Good,Up
TM Dilshan,14.8,27.0,23.1,Poor,Down
LA Pomersbach,12.8,14.4,18.8,Poor,Down
SD Chitnis,15.0,11.6,11.6,Excellent,Up
L Balaji,2.6,3.4,2.8,Average,Down
RR Powar,4.2,8.1,8.1,Poor,Down
JD Ryder,7.8,24.4,20.6,Poor,Down
KP Pietersen,26.2,30.5,27.8,Average,Down
RS Bopara,11.8,19.5,25.2,Poor,Down
M Manhas,7.0,10.2,13.5,Poor,Down
AS Raut,12.4,12.7,11.5,Good,Down
